date,Postcode,Type,Id,Price,No.Of Sales
1/4/2022,4059,Units,9,668000,56
1/5/2022,4059,Units,9,671500,54
1/6/2022,4059,Units,9,677000,57
1/7/2022,4059,Units,9,666000,57
1/8/2022,4059,Units,9,657200,59
1/9/2022,4059,Units,9,667250,56
1/10/2022,4059,Units,9,675500,54
1/11/2022,4059,Units,9,667250,56
1/12/2022,4059,Units,9,650000,53
1/1/2023,4059,Units,9,621000,49
1/2/2023,4059,Units,9,625000,49
1/3/2023,4059,Units,9,602000,42
1/4/2023,4059,Units,9,585000,39
1/5/2023,4059,Units,9,592000,38
1/6/2023,4059,Units,9,605000,35
1/7/2023,4059,Units,9,630000,36
1/8/2023,4059,Units,9,650000,39
1/9/2023,4059,Units,9,665000,41
1/10/2023,4059,Units,9,675000,37
1/11/2023,4059,Units,9,695000,35
1/12/2023,4059,Units,9,725000,35
1/1/2024,4059,Units,9,725000,33
1/2/2024,4059,Units,9,840000,30
1/3/2019,4064,Units,10,575000,57
1/4/2019,4064,Units,10,553500,58
1/5/2019,4064,Units,10,507000,61
1/6/2019,4064,Units,10,550000,63
1/7/2019,4064,Units,10,595500,67
1/8/2019,4064,Units,10,480000,64
1/9/2019,4064,Units,10,480000,68
1/10/2019,4064,Units,10,455000,65
1/11/2019,4064,Units,10,446000,65
1/12/2019,4064,Units,10,455000,71
1/1/2020,4064,Units,10,455000,67
1/2/2020,4064,Units,10,508250,72
1/3/2020,4064,Units,10,512500,64
1/4/2020,4064,Units,10,512500,64
1/5/2020,4064,Units,10,512500,58
1/6/2020,4064,Units,10,494250,56
1/7/2020,4064,Units,10,511250,58
1/8/2020,4064,Units,10,508250,60
1/9/2020,4064,Units,10,501750,62
1/10/2020,4064,Units,10,510000,65
1/11/2020,4064,Units,10,510000,63
1/12/2020,4064,Units,10,505000,59
1/1/2021,4064,Units,10,510000,63
1/2/2021,4064,Units,10,513750,62
1/3/2021,4064,Units,10,550000,76
1/4/2021,4064,Units,10,555000,83
1/5/2021,4064,Units,10,565500,91
1/6/2021,4064,Units,10,583500,94
1/7/2021,4064,Units,10,587000,100
1/8/2021,4064,Units,10,587000,102
1/9/2021,4064,Units,10,599000,102
1/10/2021,4064,Units,10,623500,104
1/11/2021,4064,Units,10,635000,111
1/12/2021,4064,Units,10,635000,111
1/1/2022,4064,Units,10,635000,114
1/2/2022,4064,Units,10,635000,114
1/3/2022,4064,Units,10,637000,108
1/4/2022,4064,Units,10,650000,106
1/5/2022,4064,Units,10,700000,101
